Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,97.264999,99.955002,93.877502,96.327499,94.705299,718600800
2020-07-20,96.417503,99.250000,89.144997,92.614998,91.055336,665196000
2020-07-27,93.709999,106.415001,93.247498,106.260002,104.470558,847635600
2020-08-03,108.199997,114.412498,107.892502,111.112503,109.241333,1003474000
2020-08-10,112.599998,116.042503,109.107498,114.907501,113.176109,941551200
2020-08-17,116.062500,124.867500,113.962502,124.370003,122.496048,835695200
2020-08-24,128.697495,128.785004,123.052498,124.807503,122.926941,1063638000
2020-08-31,127.580002,137.979996,110.889999,120.959999,119.137405,1167976600
2020-09-07,113.949997,120.500000,110.000000,112.000000,110.312431,771441800
2020-09-14,114.720001,118.830002,106.089996,106.839996,105.230171,944587000
2020-09-21,104.540001,112.860001,103.099998,112.279999,110.588196,847212600
2020-09-28,115.010002,117.720001,112.220001,113.019997,111.317055,640562200
2020-10-05,113.910004,117.000000,112.250000,116.970001,115.207542,548575100
2020-10-12,120.059998,125.389999,118.150002,119.019997,117.226639,881222300
2020-10-19,119.959999,120.419998,114.279999,115.040001,113.306618,519569600
2020-10-26,114.010002,117.279999,107.720001,108.860001,107.219742,684467100
2020-11-02,109.110001,119.620003,107.320000,118.690002,116.901627,609571800
2020-11-09,120.500000,121.989998,114.129997,119.260002,117.665695,589577900
2020-11-16,118.919998,120.989998,116.809998,117.339996,115.771347,389493400
2020-11-23,117.180000,117.620003,112.589996,116.589996,115.031380,365024000
2020-11-30,116.970001,123.779999,116.809998,122.250000,120.615715,543370600
2020-12-07,122.309998,125.949997,120.150002,122.410004,120.773590,452278700
2020-12-14,122.599998,129.580002,121.540001,126.660004,124.966766,621538100
2020-12-21,125.019997,134.410004,123.449997,131.970001,130.205780,433310200
2020-12-28,133.990005,138.789993,131.720001,132.690002,130.916138,441102200
2021-01-04,133.520004,133.610001,126.379997,132.050003,130.284683,610791200
2021-01-11,129.190002,131.449997,126.860001,127.139999,125.440346,482792700
2021-01-18,127.779999,139.850006,126.940002,139.070007,137.210861,429687100
2021-01-25,143.070007,145.089996,130.210007,131.960007,130.195923,716991000
2021-02-01,133.750000,137.419998,130.929993,136.759995,134.931732,439303000
2021-02-08,136.029999,137.880005,133.690002,135.369995,133.759903,345543100
2021-02-15,135.490005,136.009995,127.410004,129.869995,128.325317,363020300
2021-02-22,128.009995,129.720001,118.389999,121.260002,119.817734,685989200
2021-03-01,123.750000,128.720001,117.570000,121.419998,119.975822,663456700
2021-03-08,120.930000,123.209999,116.209999,121.029999,119.590477,586977300
2021-03-15,121.410004,127.220001,119.680000,119.989998,118.562836,626343500
2021-03-22,120.330002,124.239998,118.919998,121.209999,119.768326,488825800
2021-03-29,121.650002,124.180000,118.860001,123.000000,121.537041,359904000
2021-04-05,123.870003,133.039993,123.070000,133.000000,131.418091,447820500
2021-04-12,132.520004,135.000000,130.630005,134.160004,132.564316,444178800
2021-04-19,133.509995,135.529999,131.300003,134.320007,132.722397,421147600
2021-04-26,134.830002,137.070007,131.070007,131.460007,129.896423,501621500
2021-05-03,132.039993,134.070007,126.699997,130.210007,128.661285,453802300
2021-05-10,129.410004,129.539993,122.250000,127.449997,126.148003,514165600
2021-05-17,126.820000,128.000000,122.860001,125.430000,124.148651,386352000
2021-05-24,126.010002,128.320007,124.550003,124.610001,123.337021,357615000
2021-05-31,125.080002,126.160004,123.129997,125.889999,124.603951,278314500
2021-06-07,126.169998,128.460007,124.830002,127.349998,126.049034,327048100
2021-06-14,127.820000,132.550003,127.070000,130.460007,129.127274,457142800
2021-06-21,130.300003,134.639999,129.210007,133.110001,131.750168,354155800
2021-06-28,133.410004,140.000000,133.350006,139.960007,138.530212,321267200
2021-07-05,140.070007,145.649994,140.070007,145.110001,143.627594,418559700
2021-07-12,146.210007,150.000000,143.630005,146.389999,144.894531,504249300
2021-07-19,143.750000,148.720001,141.669998,148.559998,147.042343,441563700
2021-07-26,148.270004,149.830002,142.539993,145.860001,144.369919,423324000
2021-08-02,146.360001,148.039993,145.179993,146.139999,144.647095,284559400
2021-08-09,146.199997,149.440002,145.300003,149.100006,147.797958,298082900
2021-08-16,148.539993,151.679993,144.500000,148.190002,146.895905,429361600
2021-08-23,148.309998,150.860001,146.830002,148.600006,147.302322,272129100
2021-08-30,149.000000,154.979996,148.610001,154.300003,152.952545,386647700
2021-09-06,154.970001,157.259995,148.699997,148.970001,147.669067,354897400
2021-09-13,150.630005,151.419998,145.759995,146.059998,144.784485,492884800
2021-09-20,143.800003,147.470001,141.270004,146.919998,145.636978,394033300
2021-09-27,145.470001,145.960007,139.110001,142.649994,141.404282,441421300
2021-10-04,141.759995,144.220001,138.270004,142.899994,141.652084,382910100
2021-10-11,142.270004,144.899994,139.199997,144.839996,143.575165,354098200
2021-10-18,143.449997,150.179993,143.160004,148.690002,147.391541,340691300
2021-10-25,148.679993,153.169998,146.410004,149.800003,148.491837,392740000
2021-11-01,148.990005,152.429993,147.800003,151.279999,149.958923,324080300
2021-11-08,151.410004,151.570007,147.479996,149.990005,148.897171,281799900
2021-11-15,150.369995,161.020004,149.339996,160.550003,159.380219,462419300
2021-11-22,161.679993,165.699997,156.360001,156.809998,155.667465,359933200
2021-11-29,159.369995,170.300003,157.800003,161.839996,160.660858,669611100
2021-12-06,164.289993,179.630005,164.279999,179.449997,178.142517,569227700
2021-12-13,181.119995,182.130005,169.690002,171.139999,169.893051,769299200
2021-12-20,168.279999,176.850006,167.460007,176.279999,174.995621,359176900
2021-12-27,177.089996,181.330002,177.070007,177.570007,176.276230,340248100
2022-01-03,177.830002,182.940002,171.029999,172.169998,170.915573,481949000
2022-01-10,169.080002,177.179993,168.169998,173.070007,171.809036,422655700
2022-01-17,171.509995,172.539993,162.300003,162.410004,161.226685,400041100
2022-01-24,160.020004,170.350006,154.699997,170.330002,169.088974,688258600
2022-01-31,170.160004,176.240005,169.509995,172.389999,171.133957,458553300
2022-02-07,172.860001,176.649994,168.039993,168.639999,167.624588,412902000
2022-02-14,167.369995,173.339996,166.190002,167.300003,166.292648,362252300
2022-02-21,164.979996,166.690002,152.000000,164.850006,163.857407,414293700
2022-02-28,163.059998,168.910004,161.970001,163.169998,162.187515,418671400
2022-03-07,163.360001,165.020004,154.500000,154.729996,153.798325,521334100
2022-03-14,151.449997,164.479996,150.100006,163.979996,162.992645,503123700
2022-03-21,163.509995,175.279999,163.009995,174.720001,173.667984,446083700
2022-03-28,172.169998,179.610001,171.940002,174.309998,173.260452,465395100
2022-04-04,174.570007,178.490005,169.199997,170.089996,169.065842,393099200
2022-04-11,168.710007,171.270004,165.039993,165.289993,164.294754,297460200
2022-04-18,163.919998,171.529999,161.500000,161.789993,160.815842,376787700
2022-04-25,161.119995,166.199997,155.380005,157.649994,156.700745,541697200
2022-05-02,156.710007,166.479996,153.270004,157.279999,156.332993,566928200
2022-05-09,154.929993,156.740005,138.800003,147.110001,146.439056,686227300
2022-05-16,145.550003,149.770004,132.610001,137.589996,136.962463,548244700
2022-05-23,137.789993,149.679993,137.139999,149.639999,148.957520,495921700
2022-05-30,149.070007,151.740005,144.460007,145.380005,144.716949,338923400
2022-06-06,147.029999,149.869995,137.059998,137.130005,136.504578,354267700
2022-06-13,132.869995,137.339996,129.039993,131.559998,130.959976,541168600
2022-06-20,133.419998,141.910004,133.320007,141.660004,141.013916,315960300
2022-06-27,142.699997,143.490005,133.770004,138.929993,138.296356,373549800
2022-07-04,137.770004,147.550003,136.929993,147.039993,146.369370,278219600
2022-07-11,145.669998,150.860001,142.119995,150.169998,149.485092,366316600
2022-07-18,150.740005,156.279999,146.699997,154.089996,153.387222,360988700
2022-07-25,154.009995,163.630005,150.800003,162.509995,161.768829,370548900
2022-08-01,161.009995,167.190002,159.630005,165.350006,164.595871,322415000
2022-08-08,166.369995,172.169998,163.250000,172.100006,171.553055,318771500
2022-08-15,171.520004,176.149994,171.309998,171.520004,170.974884,322647200
2022-08-22,169.690002,171.050003,163.559998,163.619995,163.100006,307194600
2022-08-29,161.149994,162.899994,154.669998,155.809998,155.314819,390399000
2022-09-05,156.470001,157.820007,152.679993,157.369995,156.869858,314117000
2022-09-12,159.589996,164.259995,148.369995,150.699997,150.221069,568337900
2022-09-19,149.309998,158.740005,148.559998,150.429993,149.951920,473543200
2022-09-26,149.660004,154.720001,138.000000,138.199997,137.760773,577537000
2022-10-03,138.210007,147.539993,137.690002,140.089996,139.644775,435940600
2022-10-10,140.419998,144.520004,134.369995,138.380005,137.940216,424188400
2022-10-17,141.070007,147.850006,140.270004,147.270004,146.801956,397216400
2022-10-24,147.190002,157.500000,144.130005,155.740005,155.245056,512851100
2022-10-31,153.160004,155.449997,134.380005,138.380005,137.940216,510660400
2022-11-07,137.110001,150.009995,134.589996,149.699997,149.471771,461034600
2022-11-14,148.970001,153.589996,146.149994,151.289993,151.059357,382679700
2022-11-21,150.160004,151.830002,146.929993,148.110001,147.884201,204025500
2022-11-28,145.139999,149.130005,140.350006,147.809998,147.584656,401088500
2022-12-05,147.770004,150.919998,140.000000,142.160004,141.943283,341500000
2022-12-12,142.699997,149.970001,133.729996,134.509995,134.304932,505728900
2022-12-19,135.110001,136.809998,129.639999,131.860001,131.658981,384620400
2022-12-26,131.380005,131.410004,125.870003,129.929993,129.731918,307110500
2023-01-02,130.279999,130.899994,124.169998,129.619995,129.422394,369880400
2023-01-09,130.470001,134.919998,128.119995,134.759995,134.554550,333283500
2023-01-16,134.830002,138.610001,133.770004,137.869995,137.659805,271572000
2023-01-23,138.119995,147.229996,137.899994,145.929993,145.707520,338592600
2023-01-30,144.960007,157.380005,141.320007,154.500000,154.264465,480172300
2023-02-06,152.570007,155.229996,149.220001,151.009995,150.779785,330717200
2023-02-13,150.949997,156.330002,150.850006,152.550003,152.550003,316839700
2023-02-20,150.199997,151.300003,145.720001,146.710007,146.710007,213742300
2023-02-27,147.710007,149.169998,143.899994,145.910004,145.910004,203304300
